"player","team","mp_g","mp_g_star","min_diff","rating"
"Napheesa Collier","MIN",34,33,-1,100
"Allisha Gray","ATL",32,32,0,98
"Breanna Stewart","NYL",31,29,-2,97
"Sabrina Ionescu","NYL",32,29,-2,94
"Aliyah Boston","IND",26,36,10,92
"A'ja Wilson","LVA",31,36,6,91
"Gabby Williams","SEA",34,35,0,91
"Nneka Ogwumike","SEA",31,34,3,90
"Skylar Diggins","SEA",33,33,0,89
"Alyssa Thomas","PHO",26,29,3,89
"Azura Stevens","LAS",28,36,9,88
"Brionna Jones","ATL",26,29,3,88
"Kayla McBride","MIN",32,30,-2,88
"Veronica Burton","GSV",34,36,2,88
"Dearica Hamby","LAS",31,36,5,88
"Jonquel Jones","NYL",23,26,3,87
"Alanna Smith","MIN",27,29,2,87
"Rhyne Howard","ATL",33,29,-5,87
"Natasha Cloud","NYL",28,26,-2,87
"Paige Bueckers","DAL",34,36,3,87
"Brittney Sykes","WAS",30,33,3,85
"Lexie Hull","IND",28,32,4,85
"Satou Sabally","PHO",25,26,1,84
"Caitlin Clark","IND",30,31,0,83
"Sonia Citron","WAS",29,32,2,83
"Kayla Thornton","GSV",36,33,-3,82
"Erica Wheeler","SEA",25,28,3,82
"Natisha Hiedeman","MIN",21,26,5,82
"Kennedy Burke","NYL",22,23,1,82
"Nyara Sabally","NYL",19,23,4,82
"Jackie Young","LVA",30,35,5,81
"Kelsey Plum","LAS",34,36,2,81
"Laeticia Amihere","GSV",23,32,9,80
"Courtney Williams","MIN",26,24,-2,80
"Kiki Iriafen","WAS",24,29,5,80
"Naz Hillmon","ATL",16,24,8,79
"Monique Billings","GSV",23,31,8,79
"Monique Akoa-Makani","PHO",18,22,4,78
"Ezi Magbegor","SEA",27,25,-2,78
"Bridget Carleton","MIN",31,22,-8,77
"Kitija Laksa","PHO",20,21,1,77
"Kelsey Mitchell","IND",28,26,-3,76
"Tiffany Hayes","GSV",27,28,2,76
"Jewell Loyd","LVA",28,30,2,76
"Rebekah Gardner","NYL",13,19,6,76
"Chelsea Gray","LVA",30,30,0,75
"Brittney Griner","ATL",22,21,-1,75
"Olivia Nelson-Ododa","CON",20,36,16,75
"Shakira Austin","WAS",16,25,9,75
"Natasha Howard","IND",22,24,2,75
"Kathryn Westbeld","PHO",20,20,0,74
"Te-Hina PaoPao","ATL",12,20,8,74
"Ariel Atkins","CHI",28,36,9,74
"Kamilla Cardoso","CHI",22,36,15,74
"Alysha Clark","SEA",23,22,-1,74
"Sami Whitcomb","PHO",23,19,-4,73
"DeWanna Bonner+","IND",0,0,0,73
"Odyssey Sims+","LAS",0,0,0,73
"Kahleah Copper","PHO",17,18,1,73
"Jordin Canada","ATL",21,19,-2,73
"Tyasha Harris+","DAL",0,0,0,73
"Natasha Mack","PHO",14,18,4,72
"Lexi Held+","PHO",0,0,0,72
"Maddy Siegrist+","DAL",0,0,0,72
"Kiah Stokes","LVA",21,26,5,72
"Courtney Vandersloot+","CHI",0,0,0,72
"NaLyssa Smith","DAL",17,34,17,71
"Arike Ogunbowale","DAL",32,33,0,71
"Kaila Charles","DAL",14,32,18,70
"Nia Coffey","ATL",14,17,3,70
"Kalani Brown","PHO",12,16,4,70
"Emily Engstler","WAS",11,20,9,70
"Emma Cannon","LAS",11,35,24,70
"Sophie Cunningham","IND",21,19,-2,70
"Karlie Samuelson","MIN",16,16,0,69
"Angel Reese","CHI",29,36,8,69
"Diamond Miller","MIN",8,15,7,69
"Damiris Dantas","IND",11,18,7,69
"Elizabeth Williams","CHI",16,35,19,68
"Jade Melbourne","WAS",23,17,-6,68
"Carla Leite","GSV",20,18,-2,68
"Jacy Sheldon","CON",23,33,10,68
"Sug Sutton","WAS",20,16,-4,68
"Isabelle Harrison","NYL",8,12,3,68
"Murjanatu Musa","PHO",9,12,3,67
"Sydney Colson","IND",15,15,0,67
"Aziaha James","DAL",11,24,12,67
"Aneesah Morrow","CON",10,30,19,67
"Mercedes Russell","LAS",8,26,18,67
"Aaliyah Nye","LVA",15,17,2,67
"Dominique Malonga","SEA",9,13,4,67
"Kate Martin","GSV",19,15,-4,67
"Myisha Hines-Allen","DAL",20,18,-2,66
"Lucy Olsen","WAS",8,12,4,66
"Marine Johannes","NYL",18,8,-10,66
"Jaelyn Brown","CON",13,21,8,66
"JJ Quinerly","DAL",6,15,9,66
"Tina Charles","CON",27,11,-16,66
"Aaliyah Edwards","WAS",14,6,-8,66
"Kierstan Bell","LVA",8,6,-1,66
"Liatu King","LAS",10,10,0,65
"Alissa Pili","MIN",5,5,-1,65
"Rachel Banham","CHI",15,11,-4,65
"Kadidja Diaby","CON",9,11,3,65
"DiJonai Carrington","DAL",26,9,-17,65
"Tiffany Mitchell","LVA",13,6,-7,65
"Hailey Van Lith","CHI",14,11,-3,65
"Sika Koné","WAS",7,6,-2,64
"Zia Cooke","SEA",10,5,-5,64
"Shatori Walker-Kimbrough","ATL",10,5,-6,64
"Jaylyn Sherrod","NYL",6,4,-2,64
"Lindsay Allen","CON",11,11,0,64
"Maya Caldwell","ATL",13,5,-8,64
"Marina Mabrey","CON",29,11,-18,63
"Lexie Brown","SEA",8,5,-3,63
"Dana Evans","LVA",16,6,-9,63
"Rebecca Allen","CHI",19,11,-8,63
"Haley Peters","CON",15,11,-3,62
"Elizabeth Kitley","LVA",8,6,-2,62
"Stefanie Dolson","WAS",17,6,-12,62
"Rickea Jackson","LAS",28,10,-18,62
"Saniya Rivers","CON",24,11,-12,62
"Bria Hartley","CON",19,11,-8,62
"Michaela Onyenwere","CHI",11,11,0,61
"Sarah Ashlee Barker","LAS",21,10,-11,61
"Kia Nurse","CHI",21,11,-10,61
"Stephanie Talbot","GSV",18,6,-12,60
