"player","team","mp_g","mp_g_star","min_diff","rating"
"A'ja Wilson+","LVA",0,0,0,99
"Jessica Shepard","DAL",35,35,0,96
"Rhyne Howard","ATL",35,35,0,96
"Breanna Stewart","NYL",35,35,0,95
"Paige Bueckers","DAL",35,35,0,94
"Natasha Howard","MIN",35,33,-2,94
"Olivia Miles+","MIN",0,0,0,94
"Sonia Citron+","WAS",0,0,0,93
"Kelsey Plum+","LAS",0,0,0,93
"Jonquel Jones","NYL",34,35,1,93
"Nneka Ogwumike","LAS",35,35,0,91
"Kelsey Mitchell","IND",35,35,0,91
"Kamilla Cardoso","CHI",32,35,3,90
"Jordin Canada","ATL",32,31,-1,90
"Aliyah Boston+","IND",0,0,0,90
"Kayla McBride","MIN",35,31,-4,90
"Jackie Young","LVA",35,33,-2,89
"Allisha Gray","ATL",34,30,-4,89
"Natasha Mack+","PHO",0,0,0,88
"Veronica Burton","GSV",33,32,-1,88
"Alyssa Thomas+","PHO",0,0,0,88
"Courtney Williams","MIN",35,30,-5,88
"Nia Coffey","MIN",34,30,-4,88
"Kiki Rice+","TOR",0,0,0,87
"Dearica Hamby","LAS",34,35,1,87
"Kiki Iriafen","WAS",32,35,3,87
"NaLyssa Smith","LVA",29,32,3,87
"Caitlin Clark+","IND",0,0,0,86
"Pauline Astier","NYL",28,30,2,85
"Brittney Sykes+","TOR",0,0,0,85
"Angel Reese","ATL",31,28,-3,84
"Nyara Sabally+","TOR",0,0,0,84
"Julie Allemand","TOR",35,33,-2,84
"Janelle Salaün","GSV",27,29,2,84
"Gabby Williams+","GSV",0,0,0,83
"Marina Mabrey","TOR",33,32,-1,83
"Brittney Griner+","CON",0,0,0,83
"Natisha Hiedeman","SEA",31,33,2,83
"Megan Gustafson","POR",26,34,8,83
"Azzi Fudd","DAL",33,28,-5,83
"Chelsea Gray","LVA",35,29,-6,83
"Olivia Nelson-Ododa","CON",27,34,7,83
"Chennedy Carter","LVA",21,28,7,82
"Isabelle Harrison","TOR",31,32,1,82
"Monique Billings","IND",29,30,1,82
"Skylar Diggins+","CHI",0,0,0,81
"Kiah Stokes","GSV",27,27,0,80
"Shakira Austin","WAS",34,31,-3,80
"Sophie Cunningham","IND",32,29,-3,80
"Bridget Carleton","POR",35,31,-4,79
"Naz Hillmon","ATL",30,24,-6,79
"Leonie Fiebich+","NYL",0,0,0,79
"Carla Leite","POR",29,30,1,79
"Monique Akoa Makani","PHO",31,30,-1,78
"Leïla Lacan","CON",35,31,-4,78
"Jade Melbourne","SEA",25,29,4,78
"Awa Fam","SEA",31,29,-2,78
"Kahleah Copper","PHO",35,30,-5,77
"Kayla Thornton","GSV",30,25,-5,77
"Michaela Onyenwere","WAS",31,28,-3,76
"Dominique Malonga","SEA",26,27,1,75
"Kaitlyn Chen","GSV",18,23,5,75
"Tiffany Hayes","GSV",19,23,4,75
"Han Xu","NYL",13,23,10,75
"DeWanna Bonner","PHO",35,27,-8,74
"Maddy Siegrist","DAL",15,22,7,74
"Marine Johannes","NYL",26,22,-4,74
"Arike Ogunbowale","DAL",31,22,-9,74
"Rebekah Gardner","NYL",16,22,6,74
"Awak Kuier","DAL",19,22,3,74
"Noémie Brochant","PHO",29,27,-2,74
"Laura Juškaitė","TOR",27,25,-2,73
"Natasha Cloud","CHI",32,26,-6,73
"Aneesah Morrow+","CON",0,0,0,73
"Jovana Nogić+","PHO",0,0,0,73
"Makayla Timpson","IND",18,24,6,73
"Lauren Betts","WAS",20,26,6,73
"Anastasiia Kosu","MIN",15,21,6,73
"Temi Fagbenle+","TOR",0,0,0,73
"Jacy Sheldon","CHI",26,25,-1,73
"Satou Sabally+","NYL",0,0,0,73
"Cheyenne Parker-Tyus","LVA",12,22,10,73
"Lexie Hull","IND",29,23,-6,73
"Azura Stevens","CHI",28,25,-3,72
"Ornella Bankole+","TOR",0,0,0,72
"Sarah Ashlee Barker","POR",30,25,-5,72
"Rickea Jackson+","CHI",0,0,0,72
"Emma Čechová+","MIN",0,0,0,72
"Cameron Brink+","LAS",0,0,0,72
"Antonia Delaere","MIN",18,20,2,72
"Sydney Taylor","CHI",20,24,4,72
"Emily Engstler","POR",27,25,-2,72
"Aziaha James","DAL",14,20,6,72
"Kaila Charles","GSV",24,21,-3,72
"Aaliyah Edwards","CON",25,25,0,71
"Flau'jae Johnson","SEA",31,24,-7,71
"Valeriane Ayayi","PHO",17,25,8,71
"Maya Caldwell","MIN",19,19,0,70
"Stefanie Dolson","SEA",20,23,3,70
"Madina Okot","ATL",10,19,9,70
"Stephanie Talbot","LVA",22,20,-2,70
"Gabriela Jaquez","CHI",26,23,-3,70
"Cecilia Zandalasini","GSV",21,20,-1,70
"Kennedy Burke","CON",32,24,-8,69
"Elizabeth Williams","CHI",21,23,2,69
"Jewell Loyd","LVA",34,20,-14,69
"Kia Nurse","TOR",15,22,7,69
"Charlisse Leger-Walker","CON",29,23,-6,68
"Myisha Hines-Allen","IND",22,20,-2,68
"Isobel Borlase","ATL",13,18,5,68
"Karlie Samuelson+","POR",0,0,0,68
"Hailey Van Lith+","CON",0,0,0,68
"Rae Burrell","LAS",32,24,-8,68
"Liatu King","MIN",8,17,9,68
"Angela Dugalić","WAS",16,22,6,68
"Cotie McMahon","WAS",26,22,-4,68
"Haley Jones+","POR",0,0,0,68
"Raegan Beers","CON",11,22,11,68
"Sabrina Ionescu","NYL",31,18,-13,67
"Lexi Held","PHO",31,21,-10,67
"Raven Johnson","IND",21,19,-2,67
"Tyasha Harris","IND",16,19,3,67
"Te-Hina PaoPao","ATL",14,17,3,67
"Frieda Bühner","POR",16,21,5,66
"Kyara Linskens","PHO",10,21,11,66
"Alanna Smith","DAL",16,17,1,66
"Nell Angloma","CON",13,21,8,66
"Jihyun Park","LAS",9,22,13,65
"Diamond Miller","CON",28,20,-8,65
"Maria Conde","TOR",33,19,-14,65
"Teonni Key","TOR",11,19,8,65
"Jordan Horston","SEA",21,19,-2,65
"Chance Gray","LAS",11,21,10,65
"Zia Cooke","SEA",16,18,2,64
"Luisa Geiselsöder","POR",17,19,2,64
"Georgia Amoore","WAS",29,19,-10,64
"Tima Pouye","TOR",14,18,4,64
"Betnijah Laney-Hamilton","NYL",17,16,-1,64
"Kiana Williams","LAS",18,21,3,64
"Erica Wheeler","LAS",31,21,-10,64
"Saniya Rivers+","CON",0,0,0,64
"Ariel Atkins","LAS",29,20,-9,64
"Marta Suárez","PHO",11,19,8,63
"Kierstan Bell","LVA",11,15,4,63
"Rachel Banham","CHI",15,18,3,63
"Cassandre Prosper","WAS",13,17,4,62
"Nyadiew Puoch","POR",20,16,-4,61
"Maddy Westbeld+","CHI",0,0,0,60
