"player","team","mp_g","mp_g_star","min_diff","rating"
"Napheesa Collier","MIN",32,30,-2,100
"Allisha Gray","ATL",32,33,1,99
"Breanna Stewart","NYL",31,34,3,98
"Sabrina Ionescu","NYL",32,34,2,95
"Aliyah Boston","IND",26,36,10,93
"A'ja Wilson","LVA",31,36,6,92
"Gabby Williams","SEA",34,35,0,92
"Nneka Ogwumike","SEA",31,34,3,91
"Kayla McBride","MIN",30,28,-2,90
"Skylar Diggins","SEA",33,33,0,90
"Alyssa Thomas","PHO",26,26,1,90
"Brionna Jones","ATL",26,29,3,89
"Veronica Burton","GSV",34,36,2,88
"Azura Stevens","LAS",26,36,11,88
"Jonquel Jones+","NYL",0,0,0,88
"Paige Bueckers","DAL",34,36,3,88
"Natasha Cloud","NYL",28,30,2,87
"Rhyne Howard","ATL",33,28,-5,87
"Dearica Hamby","LAS",29,36,8,87
"Alanna Smith","MIN",26,26,0,87
"Satou Sabally","PHO",24,23,-1,86
"Brittney Sykes","WAS",30,33,3,85
"Lexie Hull","IND",28,32,4,85
"Caitlin Clark","IND",30,31,1,84
"Sonia Citron","WAS",29,32,2,83
"Kayla Thornton","GSV",36,33,-3,83
"Erica Wheeler","SEA",25,28,3,83
"Courtney Williams","MIN",25,23,-2,83
"Kennedy Burke","NYL",22,26,5,82
"Nyara Sabally","NYL",19,26,8,82
"Jackie Young","LVA",30,35,5,82
"Natisha Hiedeman","MIN",19,22,3,81
"Laeticia Amihere","GSV",23,32,9,81
"Kiki Iriafen","WAS",24,29,5,80
"Naz Hillmon","ATL",16,24,7,80
"Monique Billings","GSV",23,31,8,80
"Monique Akoa-Makani","PHO",18,20,2,79
"Maria Kliundikova","MIN",11,21,10,78
"Ezi Magbegor","SEA",27,25,-2,78
"Kelsey Plum","LAS",32,35,3,78
"Bridget Carleton","MIN",28,20,-8,78
"Kitija Laksa","PHO",20,19,-2,77
"Kahleah Copper","PHO",18,19,1,77
"Kelsey Mitchell","IND",28,26,-3,77
"Tiffany Hayes","GSV",27,28,2,77
"Jewell Loyd","LVA",28,30,1,77
"Sami Whitcomb","PHO",22,18,-4,76
"Rebekah Gardner","NYL",13,22,9,76
"Chelsea Gray","LVA",30,29,-1,76
"Brittney Griner","ATL",22,21,-1,76
"Olivia Nelson-Ododa","CON",20,36,16,75
"Shakira Austin","WAS",16,25,9,75
"Kathryn Westbeld","PHO",20,18,-2,75
"Natasha Howard","IND",22,24,2,75
"Te-Hina PaoPao","ATL",12,20,8,74
"Alysha Clark","SEA",23,22,-1,74
"Kamilla Cardoso","CHI",22,36,15,74
"DeWanna Bonner+","IND",0,0,0,74
"Odyssey Sims+","LAS",0,0,0,73
"Jordin Canada","ATL",21,19,-2,73
"Ariel Atkins","CHI",27,36,10,73
"Tyasha Harris+","DAL",0,0,0,73
"Maddy Siegrist+","DAL",0,0,0,72
"Kiah Stokes","LVA",21,25,4,72
"Lexi Held","PHO",18,16,-2,72
"NaLyssa Smith","DAL",17,35,18,72
"Kalani Brown","PHO",12,15,3,71
"Arike Ogunbowale","DAL",32,34,2,71
"Courtney Vandersloot+","CHI",0,0,0,71
"Kaila Charles","DAL",14,33,19,71
"Angel Reese","CHI",28,36,8,71
"Nia Coffey","ATL",14,17,3,71
"Natasha Mack","PHO",13,14,1,70
"Emily Engstler","WAS",11,20,9,70
"Sophie Cunningham","IND",21,19,-2,70
"Emma Cannon","LAS",10,25,15,70
"Damiris Dantas","IND",11,17,7,69
"Shey Peddy","LAS",15,23,8,69
"Murjanatu Musa","PHO",9,12,3,69
"Elizabeth Williams","CHI",16,32,16,69
"Diamond Miller","MIN",8,13,5,68
"Karlie Samuelson","MIN",15,13,-2,68
"Jade Melbourne","WAS",23,16,-6,68
"Carla Leite","GSV",20,17,-2,68
"Jacy Sheldon","CON",23,33,9,68
"Sug Sutton","WAS",20,16,-4,68
"Isabelle Harrison","NYL",8,13,5,68
"Sydney Colson","IND",15,15,0,68
"Mercedes Russell","LAS",7,19,12,67
"Aziaha James","DAL",11,24,13,67
"Aneesah Morrow","CON",10,29,18,67
"Aaliyah Nye","LVA",15,16,1,67
"Dominique Malonga","SEA",9,13,3,67
"Kate Martin","GSV",19,15,-4,67
"Myisha Hines-Allen","DAL",20,18,-3,66
"Marine Johannes","NYL",18,9,-10,66
