"player","team","g","mp","mp_g"
"Aaliyah Nye","ATL",6,5,0.83
"Allisha Gray","ATL",7,235,33.57
"Angel Reese","ATL",7,218,31.14
"Indya Nivar","ATL",7,27,3.86
"Isobel Borlase","ATL",7,52,7.43
"Jordin Canada","ATL",7,208,29.71
"Madina Okot","ATL",7,62,8.86
"Naz Hillmon","ATL",7,226,32.29
"Rhyne Howard","ATL",6,214,35.67
"Sika Koné","ATL",7,31,4.43
"Te-Hina PaoPao","ATL",7,122,17.43
"Aicha Coulibaly","CHI",7,88,12.57
"Azura Stevens","CHI",3,49,16.33
"Elizabeth Williams","CHI",8,137,17.12
"Gabriela Jaquez","CHI",6,170,28.33
"Jacy Sheldon","CHI",8,202,25.25
"Kamilla Cardoso","CHI",8,207,25.88
"Natasha Cloud","CHI",7,202,28.86
"Rachel Banham","CHI",8,134,16.75
"Rickea Jackson","CHI",4,118,29.5
"Saylor Poffenbarger","CHI",2,1,0.5
"Skylar Diggins","CHI",7,210,30
"Sydney Taylor","CHI",8,84,10.5
"Aaliyah Edwards","CON",6,111,18.5
"Aneesah Morrow","CON",10,249,24.9
"Ashlon Jackson","CON",8,55,6.88
"Brittney Griner","CON",4,97,24.25
"Charlisse Leger-Walker","CON",10,215,21.5
"Diamond Miller","CON",10,199,19.9
"Gianna Kneepkens","CON",10,101,10.1
"Hailey Van Lith","CON",9,158,17.56
"Kennedy Burke","CON",10,244,24.4
"Leila Lacan","CON",1,21,21
"Nell Angloma","CON",7,89,12.71
"Olivia Nelson-Ododa","CON",6,99,16.5
"Raegan Beers","CON",10,120,12
"Saniya Rivers","CON",10,240,24
"Alanna Smith","DAL",8,144,18
"Alysha Clark","DAL",9,68,7.56
"Arike Ogunbowale","DAL",9,259,28.78
"Awak Kuier","DAL",8,110,13.75
"Aziaha James","DAL",9,103,11.44
"Azzi Fudd","DAL",8,205,25.62
"Costanza Verona","DAL",1,0,0
"Dulcy Fankam","DAL",3,0,0
"Jessica Shepard","DAL",9,277,30.78
"JJ Quinerly","DAL",9,0,0
"Li Yueru","DAL",9,46,5.11
"Maddy Siegrist","DAL",9,131,14.56
"Odyssey Sims","DAL",9,165,18.33
"Paige Bueckers","DAL",9,290,32.22
"Ashten Prechtel","GSV",4,5,1.25
"Cecilia Zandalasini","GSV",4,56,14
"Gabby Williams","GSV",8,203,25.38
"Janelle Salaün","GSV",8,188,23.5
"Justė Jocytė","GSV",3,26,8.67
"Kaila Charles","GSV",8,172,21.5
"Kaitlyn Chen","GSV",8,123,15.38
"Kayla Thornton","GSV",8,207,25.88
"Kiah Stokes","GSV",8,178,22.25
"Laeticia Amihere","GSV",8,115,14.38
"Miela Sowah","GSV",4,6,1.5
"Ndjakalenga Mwenentanda","GSV",8,12,1.5
"Tiffany Hayes","GSV",6,80,13.33
"Veronica Burton","GSV",8,229,28.62
"Aliyah Boston","IND",7,168,24
"Caitlin Clark","IND",7,206,29.43
"Damiris Dantas","IND",8,37,4.62
"Grace VanSlooten","IND",3,8,2.67
"Kelsey Mitchell","IND",8,249,31.12
"Lexie Hull","IND",8,158,19.75
"Makayla Timpson","IND",8,122,15.25
"Monique Billings","IND",7,142,20.29
"Myisha Hines-Allen","IND",8,145,18.12
"Raven Johnson","IND",8,106,13.25
"Shatori Walker-Kimbrough","IND",5,6,1.2
"Sophie Cunningham","IND",8,192,24
"Tyasha Harris","IND",8,86,10.75
"Ariel Atkins","LAS",6,163,27.17
"Cameron Brink","LAS",8,139,17.38
"Chance Gray","LAS",8,73,9.12
"Dearica Hamby","LAS",8,245,30.62
"Emma Cannon","LAS",8,3,0.38
"Erica Wheeler","LAS",8,227,28.38
"Jihyun Park","LAS",8,34,4.25
"Kate Martin","LAS",5,44,8.8
"Kelsey Plum","LAS",6,212,35.33
"Nneka Ogwumike","LAS",7,225,32.14
"Rae Burrell","LAS",8,216,27
"Sania Feagin","LAS",2,3,1.5
"Ta'Niya Latson","LAS",8,19,2.38
"A'ja Wilson","LVA",8,244,30.5
"Brianna Turner","LVA",8,75,9.38
"Chelsea Gray","LVA",8,251,31.38
"Chennedy Carter","LVA",8,161,20.12
"Cheyenne Parker-Tyus","LVA",8,64,8
"Jackie Young","LVA",8,237,29.62
"Janiah Barker","LVA",3,0,0
"Jewell Loyd","LVA",7,191,27.29
"Kierstan Bell","LVA",8,59,7.38
"NaLyssa Smith","LVA",8,172,21.5
"Stephanie Talbot","LVA",8,142,17.75
"Anastasiia Kosu","MIN",8,70,8.75
"Antonia Delaere","MIN",9,122,13.56
"Courtney Williams","MIN",9,276,30.67
"Eliška Hamzová","MIN",6,12,2
"Emese Hof","MIN",3,21,7
"Emma Čechová","MIN",3,52,17.33
"Kayla McBride","MIN",9,285,31.67
"Liatu King","MIN",5,48,9.6
"Maya Caldwell","MIN",9,127,14.11
"Natasha Howard","MIN",9,253,28.11
"Nia Coffey","MIN",9,236,26.22
"Olivia Miles","MIN",9,277,30.78
"Teaira McCowan","MIN",2,26,13
"Alex Fowler","NYL",2,32,16
"Anneli Maley","NYL",2,22,11
"Aubrey Griffin","NYL",4,7,1.75
"Betnijah Laney-Hamilton","NYL",6,123,20.5
"Breanna Stewart","NYL",9,293,32.56
"Han Xu","NYL",9,124,13.78
"Jonquel Jones","NYL",9,260,28.89
"Julie Vanloo","NYL",5,81,16.2
"Leonie Fiebich","NYL",2,63,31.5
"Marine Fauthoux","NYL",1,0,0
"Marine Johannes","NYL",9,249,27.67
"Pauline Astier","NYL",9,236,26.22
"Raquel Carrera Quintana","NYL",4,2,0.5
"Rebecca Allen","NYL",7,71,10.14
"Rebekah Gardner","NYL",9,174,19.33
"Sabrina Ionescu","NYL",2,31,15.5
"Satou Sabally","NYL",5,55,11
"Alyssa Thomas","PHO",10,330,33
"Anneli Maley","PHO",4,6,1.5
"DeWanna Bonner","PHO",10,254,25.4
"Jovana Nogić","PHO",10,218,21.8
"Kahleah Copper","PHO",10,334,33.4
"Kiana Williams","PHO",9,105,11.67
"Kyara Linskens","PHO",10,98,9.8
"Lexi Held","PHO",1,15,15
"Marta Suárez","PHO",3,19,6.33
"Monique Akoa Makani","PHO",3,72,24
"Natasha Mack","PHO",10,250,25
"Noémie Brochant","PHO",10,192,19.2
"Peyton Williams","PHO",2,6,3
"Quionche Carter","PHO",1,10,10
