"player","g","mp","mp_g"
"A'ja Wilson",38,1215,31.97
"Aaliyah Edwards",27,489,18.11
"Aaliyah Nye",30,42,1.4
"Aicha Coulibaly",32,362,11.31
"Alanna Smith",32,555,17.34
"Alex Fowler",2,32,16
"Ally Wilson",7,58,8.29
"Alicia Flórez",36,362,10.06
"Alissa Pili",7,39,5.57
"Aliyah Boston",37,993,26.84
"Allisha Gray",40,1317,32.92
"Alysha Clark",35,298,8.51
"Alyssa Thomas",37,1247,33.7
"Amy Okonkwo",8,13,1.62
"Anastasiia Kosu",39,306,7.85
"Aneesah Morrow",28,627,22.39
"Angel Reese",39,1218,31.23
"Angela Dugalić",41,326,7.95
"Anneli Maley",15,65,4.33
"Antonia Delaere",40,432,10.8
"Ariel Atkins",39,1062,27.23
"Arike Ogunbowale",40,1187,29.68
"Ashlon Jackson",30,150,5
"Ashten Prechtel",10,35,3.5
"Aubrey Griffin",4,7,1.75
"Awa Fam",36,1001,27.81
"Awak Kuier",37,648,17.51
"Aziaha James",35,401,11.46
"Azura Stevens",31,771,24.87
"Azzi Fudd",31,965,31.13
"Betnijah Laney-Hamilton",38,433,11.39
"Breanna Stewart",40,1328,33.2
"Bree Hall",10,22,2.2
"Brianna Turner",42,503,11.98
"Bridget Carleton",39,1174,30.1
"Brionna Jones",11,152,13.82
"Brittney Griner",21,476,22.67
"Brittney Sykes",18,495,27.5
"Caitlin Clark",36,1116,31
"Cameron Brink",31,537,17.32
"Carla Leite",37,939,25.38
"Cassandre Prosper",41,350,8.54
"Cecilia Zandalasini",36,689,19.14
"Chance Gray",41,428,10.44
"Charlisse Leger-Walker",40,943,23.58
"Chelsea Gray",41,1345,32.8
"Chennedy Carter",14,243,17.36
"Cheyenne Parker-Tyus",31,310,10
"Chloe Bibby",9,63,7
"Costanza Verona",11,6,0.55
"Cotie McMahon",39,776,19.9
"Courtney Vandersloot",24,498,20.75
"Courtney Williams",39,1187,30.44
"Damiris Dantas",28,102,3.64
"Dana Evans",11,181,16.45
"Darianna Littlepage",22,3,0.14
"Dearica Hamby",41,1195,29.15
"DeWanna Bonner",38,1052,27.68
"Diamond Miller",40,897,22.42
"DiJonai Carrington",15,178,11.87
"Dominique Malonga",33,846,25.64
"Dorka Juhász",20,260,13
"Dulcy Fankam",3,0,0
"Eliška Hamzová",20,97,4.85
"Eliska Joklova",9,17,1.89
"Elizabeth Williams",40,654,16.35
"Emese Hof",3,20,6.67
"Emily Engstler",40,954,23.85
"Emma Cannon",41,129,3.15
"Emma Čechová",4,52,13
"Erica Wheeler",41,1085,26.46
"Ezi Magbegor",13,257,19.77
"Flau'jae Johnson",40,1130,28.25
"Frieda Bühner",39,561,14.38
"Gabby Williams",38,939,24.71
"Gabriela Jaquez",37,665,17.97
"Georgia Amoore",41,953,23.24
"Gianna Kneepkens",40,258,6.45
"Grace VanSlooten",40,87,2.17
"Hailey Van Lith",30,250,8.33
"Haley Jones",14,61,4.36
"Han Xu",42,575,13.69
"Holly Winterburn",36,266,7.39
"Iliana Rupert",2,0,0
"Indya Nivar",25,61,2.44
"Isabelle Harrison",28,651,23.25
"Isobel Borlase",40,533,13.32
"Jackie Young",41,1322,32.24
"Jacy Sheldon",40,823,20.58
"Jade Melbourne",41,1040,25.37
"Janelle Salaün",39,870,22.31
"Janiah Barker",9,0,0
"Jaylyn Sherrod",11,70,6.36
"Jessica Shepard",38,1204,31.68
"Jewell Loyd",40,1064,26.6
"Jihyun Park",41,346,8.44
"JJ Quinerly",13,13,1
"Jonquel Jones",41,1172,28.59
"Jordan Harrison",16,132,8.25
"Jordan Horston",35,625,17.86
"Jordin Canada",39,1234,31.64
"Jovana Nogić",18,319,17.72
"Joyner Holmes",6,15,2.5
"Julie Allemand",32,930,29.06
"Julie Vanloo",5,81,16.2
"Justė Jocytė",34,77,2.26
"Justine Pissott",18,93,5.17
"Kahleah Copper",39,1284,32.92
"Kaila Charles",40,775,19.38
"Kaitlyn Chen",40,581,14.53
"Kamiah Smalls",2,30,15
"Kamilla Cardoso",39,1047,26.85
"Kara Dunn",2,0,0
"Karlie Samuelson",30,423,14.1
"Kate Martin",31,120,3.87
"Katie Lou Samuelson",34,512,15.06
"Kayla Alexander",5,40,8
"Kayla McBride",40,1297,32.42
"Kayla Thornton",40,956,23.9
"Kelsey Mitchell",41,1335,32.56
"Kelsey Plum",17,521,30.65
"Kennedy Burke",39,938,24.05
"Kia Nurse",41,543,13.24
"Kiah Stokes",39,874,22.41
"Kiana Williams",30,307,10.23
"Kierstan Bell",34,287,8.44
"Kiki Iriafen",39,1069,27.41
"Kiki Rice",24,602,25.08
"Kyara Linskens",39,215,5.51
"Laeticia Amihere",40,389,9.72
"Laura Juškaitė",41,1004,24.49
"Laura Ziegler",7,48,6.86
"Lauren Betts",41,690,16.83
"Leïla Lacan",29,828,28.55
"Leonie Fiebich",18,537,29.83
"Lexi Held",39,579,14.85
"Lexie Brown",11,149,13.55
"Lexie Hull",41,776,18.93
"Li Yueru",39,282,7.23
"Liatu King",12,73,6.08
"Lucy Olsen",41,139,3.39
"Luisa Geiselsöder",34,351,10.32
"Mackenzie Holmes",42,245,5.83
"Maddy Siegrist",40,520,13
"Maddy Westbeld",6,55,9.17
"Madina Okot",40,373,9.32
"Mai Yamamoto",15,133,8.87
"Makayla Timpson",41,755,18.41
"Maria Conde",36,983,27.31
"Mariella Fasoula",6,15,2.5
