"player","g","mp","mp_g"
"A'ja Wilson",31,987,31.84
"Aaliyah Edwards",23,399,17.35
"Aaliyah Nye",22,21,0.95
"Aicha Coulibaly",24,263,10.96
"Alanna Smith",24,347,14.46
"Alex Fowler",2,32,16
"Ally Wilson",7,58,8.29
"Alicia Flórez",26,291,11.19
"Alissa Pili",4,18,4.5
"Aliyah Boston",30,790,26.33
"Allisha Gray",32,1054,32.94
"Alysha Clark",29,188,6.48
"Alyssa Thomas",30,1018,33.93
"Amy Okonkwo",3,2,0.67
"Anastasiia Kosu",32,297,9.28
"Aneesah Morrow",23,530,23.04
"Angel Reese",31,952,30.71
"Angela Dugalić",31,304,9.81
"Anneli Maley",13,53,4.08
"Antonia Delaere",33,403,12.21
"Ariel Atkins",31,842,27.16
"Arike Ogunbowale",32,940,29.38
"Ashlon Jackson",23,77,3.35
"Ashten Prechtel",6,5,0.83
"Aubrey Griffin",4,7,1.75
"Awa Fam",30,877,29.23
"Awak Kuier",29,451,15.55
"Aziaha James",32,347,10.84
"Azura Stevens",23,583,25.35
"Azzi Fudd",31,965,31.13
"Betnijah Laney-Hamilton",30,305,10.17
"Breanna Stewart",33,1108,33.58
"Bree Hall",8,21,2.62
"Brianna Turner",34,384,11.29
"Bridget Carleton",32,952,29.75
"Brionna Jones",8,106,13.25
"Brittney Griner",19,433,22.79
"Brittney Sykes",16,472,29.5
"Caitlin Clark",28,840,30
"Cameron Brink",23,416,18.09
"Carla Leite",31,791,25.52
"Cassandre Prosper",31,299,9.65
"Cecilia Zandalasini",27,489,18.11
"Chance Gray",33,325,9.85
"Charlisse Leger-Walker",32,746,23.31
"Chelsea Gray",34,1120,32.94
"Chennedy Carter",14,243,17.36
"Cheyenne Parker-Tyus",28,277,9.89
"Chloe Bibby",5,51,10.2
"Costanza Verona",10,6,0.6
"Cotie McMahon",29,592,20.41
"Courtney Vandersloot",16,296,18.5
"Courtney Williams",33,1004,30.42
"Damiris Dantas",27,102,3.78
"Dana Evans",9,147,16.33
"Darianna Littlepage",16,0,0
"Dearica Hamby",33,975,29.55
"DeWanna Bonner",33,909,27.55
"Diamond Miller",32,729,22.78
"DiJonai Carrington",8,68,8.5
"Dominique Malonga",27,685,25.37
"Dorka Juhász",13,187,14.38
"Dulcy Fankam",3,0,0
"Eliška Hamzová",20,97,4.85
"Eliska Joklova",2,3,1.5
"Elizabeth Williams",32,557,17.41
"Emese Hof",3,20,6.67
"Emily Engstler",33,769,23.3
"Emma Cannon",33,96,2.91
"Emma Čechová",4,52,13
"Erica Wheeler",33,909,27.55
"Ezi Magbegor",7,106,15.14
"Flau'jae Johnson",36,1023,28.42
"Frieda Bühner",32,459,14.34
"Gabby Williams",29,729,25.14
"Gabriela Jaquez",29,573,19.76
"Georgia Amoore",31,727,23.45
"Gianna Kneepkens",32,184,5.75
"Grace VanSlooten",32,85,2.66
"Hailey Van Lith",23,176,7.65
"Haley Jones",11,58,5.27
"Han Xu",35,466,13.31
"Holly Winterburn",29,175,6.03
"Iliana Rupert",1,0,0
"Indya Nivar",24,61,2.54
"Isabelle Harrison",21,471,22.43
"Isobel Borlase",32,415,12.97
"Jackie Young",34,1092,32.12
"Jacy Sheldon",32,675,21.09
"Jade Melbourne",35,861,24.6
"Janelle Salaün",31,698,22.52
"Janiah Barker",9,0,0
"Jaylyn Sherrod",6,43,7.17
"Jessica Shepard",32,1051,32.84
"Jewell Loyd",32,871,27.22
"Jihyun Park",33,282,8.55
"JJ Quinerly",13,13,1
"Jonquel Jones",34,994,29.24
"Jordan Harrison",9,62,6.89
"Jordan Horston",29,519,17.9
"Jordin Canada",32,1015,31.72
"Jovana Nogić",17,319,18.76
"Joyner Holmes",6,15,2.5
"Julie Allemand",28,832,29.71
"Julie Vanloo",5,81,16.2
"Justė Jocytė",25,58,2.32
"Justine Pissott",12,61,5.08
"Kahleah Copper",32,1049,32.78
"Kaila Charles",31,610,19.68
"Kaitlyn Chen",31,455,14.68
"Kamiah Smalls",2,30,15
"Kamilla Cardoso",31,822,26.52
"Karlie Samuelson",23,307,13.35
"Kate Martin",23,104,4.52
"Katie Lou Samuelson",30,450,15
"Kayla Alexander",5,40,8
"Kayla McBride",33,1061,32.15
"Kayla Thornton",31,765,24.68
"Kelsey Mitchell",33,1073,32.52
"Kelsey Plum",14,462,33
"Kennedy Burke",31,744,24
"Kia Nurse",34,416,12.24
"Kiah Stokes",31,705,22.74
"Kiana Williams",26,266,10.23
"Kierstan Bell",29,259,8.93
"Kiki Iriafen",29,775,26.72
"Kiki Rice",17,392,23.06
"Kyara Linskens",33,179,5.42
"Laeticia Amihere",31,300,9.68
"Laura Juškaitė",34,821,24.15
"Laura Ziegler",7,48,6.86
"Lauren Betts",31,502,16.19
"Leïla Lacan",23,665,28.91
"Leonie Fiebich",16,471,29.44
"Lexi Held",32,495,15.47
"Lexie Brown",11,149,13.55
"Lexie Hull",33,641,19.42
"Li Yueru",31,229,7.39
"Liatu King",12,73,6.08
"Lucy Olsen",31,132,4.26
"Luisa Geiselsöder",33,351,10.64
"Mackenzie Holmes",36,240,6.67
"Maddy Siegrist",32,400,12.5
"Maddy Westbeld",3,29,9.67
"Madina Okot",32,291,9.09
"Mai Yamamoto",7,8,1.14
"Makayla Timpson",33,530,16.06
"Maria Conde",34,935,27.5
"Mariella Fasoula",6,15,2.5
"Marina Mabrey",33,910,27.58
"Marine Fauthoux",13,178,13.69
"Marine Johannes",31,665,21.45
"Marta Suárez",20,119,5.95
"Maya Caldwell",33,460,13.94
"Megan Di",6,161,26.83
"Megan Gustafson",25,566,22.64
"Michaela Onyenwere",27,709,26.26
"Miela Sowah",5,6,1.2
"Monique Akoa Makani",21,477,22.71
"Monique Billings",32,690,21.56
"Myisha Hines-Allen",33,404,12.24
"Nadia Fingall",20,10,0.5
"NaLyssa Smith",32,773,24.16
"Napheesa Collier",7,159,22.71
"Natasha Cloud",31,872,28.13
"Natasha Howard",33,958,29.03
"Natasha Mack",25,547,21.88
"Natisha Hiedeman",36,1071,29.75
"Naz Hillmon",30,878,29.27
"Ndjakalenga Mwenentanda",11,13,1.18
"Nell Angloma",29,269,9.28
"Nia Coffey",33,792,24
"Nikolina Milic",8,63,7.88
"Nneka Ogwumike",32,989,30.91
"Noémie Brochant",33,715,21.67
"Nyadiew Puoch",32,535,16.72
"Nyara Sabally",25,570,22.8
"Odyssey Sims",22,299,13.59
"Olivia Miles",31,950,30.65
"Olivia Nelson-Ododa",28,621,22.18
"Ornella Bankole",4,10,2.5
"Paige Bueckers",30,997,33.23
"Pauline Astier",35,831,23.74
"Peyton Williams",2,6,3
"Quionche Carter",14,73,5.21
"Rachel Banham",32,348,10.88
"Rae Burrell",33,945,28.64
"Raegan Beers",32,292,9.12
"Raquel Carrera Quintana",30,114,3.8
"Raven Johnson",32,359,11.22
"Rayah Marshall",1,4,4
"Rebecca Allen",33,296,8.97
"Rebekah Gardner",35,492,14.06
"Rhyne Howard",31,1077,34.74
"Rickea Jackson",7,118,16.86
"Rori Harmon",31,68,2.19
"Sabrina Ionescu",24,715,29.79
"Sami Whitcomb",11,129,11.73
"Sania Feagin",9,10,1.11
"Saniya Rivers",27,597,22.11
"Sarah Ashlee Barker",27,659,24.41
"Satou Sabally",14,217,15.5
"Saylor Poffenbarger",10,26,2.6
"Serah Williams",32,349,10.91
"Sha Carter",9,18,2
"Shakira Austin",30,877,29.23
"Shatori Walker-Kimbrough",14,15,1.07
"Shay Ciezki",4,18,4.5
"Sika Koné",32,157,4.91
"Skylar Diggins",21,576,27.43
"Sonia Citron",29,934,32.21
"Sophie Cunningham",32,742,23.19
"Stefanie Dolson",36,575,15.97
"Stephanie Talbot",34,571,16.79
"Sug Sutton",22,200,9.09
"Sydney Taylor",31,602,19.42
"Ta'Niya Latson",25,71,2.84
"Taina Mair",10,16,1.6
"Taylor Thierry",28,48,1.71
"Te-Hina PaoPao",26,324,12.46
"Teaira McCowan",11,68,6.18
"Teja Oblak",28,337,12.04
"Temi Fagbenle",18,296,16.44
"Teonni Key",34,252,7.41
"Tiffany Hayes",29,476,16.41
"Tima Pouye",23,213,9.26
"Tyasha Harris",33,421,12.76
"Valeriane Ayayi",31,471,15.19
"Veronica Burton",31,881,28.42
"Zia Cooke",36,521,14.47
