"player","mp","team","date"
"Diamond Miller",25,"CON",2026-05-08
"Aneesah Morrow",24,"CON",2026-05-08
"Brittney Griner",27,"CON",2026-05-08
"Kennedy Burke",24,"CON",2026-05-08
"Saniya Rivers",26,"CON",2026-05-08
"Raegan Beers",11,"CON",2026-05-08
"Olivia Nelson",15,"CON",2026-05-08
"Hailey Van",14,"CON",2026-05-08
"Charlisse Leger",21,"CON",2026-05-08
"Gianna Kneepkens",13,"CON",2026-05-08
"Ashlon Jackson",0,"CON",2026-05-08
"Breanna Stewart",28,"NY",2026-05-08
"Jonquel Jones",25,"NY",2026-05-08
"Betnijah Laney",28,"NY",2026-05-08
"Marine Johannes",28,"NY",2026-05-08
"Pauline Astier",20,"NY",2026-05-08
"Aubrey Griffin",5,"NY",2026-05-08
"Han Xu",22,"NY",2026-05-08
"Rebekah Gardner",22,"NY",2026-05-08
"Julie Vanloo",22,"NY",2026-05-08
"Kiki Iriafen",28,"WSH",2026-05-08
"Shakira Austin",28,"WSH",2026-05-08
"Sonia Citron",34,"WSH",2026-05-08
"Georgia Amoore",20,"WSH",2026-05-08
"Cassandre Prosper",19,"WSH",2026-05-08
"Angela Dugalic",12,"WSH",2026-05-08
"Lauren Betts",12,"WSH",2026-05-08
"Rori Harmon",20,"WSH",2026-05-08
"Lucy Olsen",10,"WSH",2026-05-08
"Alex Wilson",17,"WSH",2026-05-08
"Nyara Sabally",26,"TOR",2026-05-08
"Temi Fagbenle",16,"TOR",2026-05-08
"Brittney Sykes",28,"TOR",2026-05-08
"Marina Mabrey",30,"TOR",2026-05-08
"Julie Allemand",30,"TOR",2026-05-08
"Maria Conde",15,"TOR",2026-05-08
"Teonni Key",9,"TOR",2026-05-08
"Laura Juskaite",15,"TOR",2026-05-08
"Mariella Fasoula",1,"TOR",2026-05-08
"Kia Nurse",10,"TOR",2026-05-08
"Lexi Held",2,"TOR",2026-05-08
"Kiki Rice",18,"TOR",2026-05-08
"Kayla Thornton",30,"GS",2026-05-08
"Gabby Williams",24,"GS",2026-05-08
"Kiah Stokes",24,"GS",2026-05-08
"Tiffany Hayes",4,"GS",2026-05-08
"Veronica Burton",31,"GS",2026-05-08
"Cecilia Zandalasini",7,"GS",2026-05-08
"Laeticia Amihere",16,"GS",2026-05-08
"Janelle Salaun",27,"GS",2026-05-08
"Kaila Charles",17,"GS",2026-05-08
"Miela Sowah",3,"GS",2026-05-08
"Kaitlyn Chen",16,"GS",2026-05-08
"Ndjakalenga Mwenentanda",1,"GS",2026-05-08
"Jordan Horston",15,"SEA",2026-05-08
"Stefanie Dolson",27,"SEA",2026-05-08
"Dominique Malonga",29,"SEA",2026-05-08
"Natisha Hiedeman",23,"SEA",2026-05-08
"Flau'jae JohnsonF. Johnson#4",26,"SEA",2026-05-08
"Mackenzie Holmes",11,"SEA",2026-05-08
"Grace Van",7,"SEA",2026-05-08
"Lexie Brown",22,"SEA",2026-05-08
"Zia Cooke",23,"SEA",2026-05-08
"Jade Melbourne",17,"SEA",2026-05-08
"Taina Mair",0,"SEA",2026-05-08
"Jessica Shepard",32,"DAL",2026-05-09
"Alanna Smith",20,"DAL",2026-05-09
"Odyssey Sims",26,"DAL",2026-05-09
"Arike Ogunbowale",29,"DAL",2026-05-09
"Paige Bueckers",32,"DAL",2026-05-09
"Alysha Clark",4,"DAL",2026-05-09
"Maddy Siegrist",18,"DAL",2026-05-09
"Awak Kuier",2,"DAL",2026-05-09
"Li Yueru",4,"DAL",2026-05-09
"Azzi Fudd",18,"DAL",2026-05-09
"Aziaha James",16,"DAL",2026-05-09
"Dulcy Fankam",0,"DAL",2026-05-09
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-09
"Myisha Hines",21,"IND",2026-05-09
"Aliyah Boston",26,"IND",2026-05-09
"Kelsey Mitchell",33,"IND",2026-05-09
"Sophie Cunningham",26,"IND",2026-05-09
"Caitlin Clark",31,"IND",2026-05-09
"Makayla Timpson",19,"IND",2026-05-09
"Damiris Dantas",13,"IND",2026-05-09
"Tyasha Harris",4,"IND",2026-05-09
"Lexie Hull",15,"IND",2026-05-09
"Raven Johnson",12,"IND",2026-05-09
"Shatori Walker",0,"IND",2026-05-09
"DeWanna Bonner",22,"PHX",2026-05-09
"Alyssa Thomas",26,"PHX",2026-05-09
"Natasha Mack",25,"PHX",2026-05-09
"Kahleah Copper",28,"PHX",2026-05-09
"Jovana Nogic",21,"PHX",2026-05-09
"Peyton Williams",6,"PHX",2026-05-09
"Anneli Maley",6,"PHX",2026-05-09
"Noemie Brochant",18,"PHX",2026-05-09
"Kyara Linskens",14,"PHX",2026-05-09
"Kiana Williams",21,"PHX",2026-05-09
"Sha Carter",12,"PHX",2026-05-09
"Stephanie Talbot",19,"LV",2026-05-09
"NaLyssa Smith",21,"LV",2026-05-09
"A'ja WilsonA. Wilson#22",24,"LV",2026-05-09
"Chelsea Gray",22,"LV",2026-05-09
"Jackie Young",25,"LV",2026-05-09
"Cheyenne Parker",12,"LV",2026-05-09
"Brianna Turner",14,"LV",2026-05-09
"Kierstan Bell",19,"LV",2026-05-09
"Jewell Loyd",24,"LV",2026-05-09
"Chennedy Carter",19,"LV",2026-05-09
"Rickea Jackson",36,"CHI",2026-05-09
"Kamilla Cardoso",25,"CHI",2026-05-09
"Skylar Diggins",33,"CHI",2026-05-09
"Jacy Sheldon",34,"CHI",2026-05-09
"Gabriela Jaquez",32,"CHI",2026-05-09
"Elizabeth Williams",15,"CHI",2026-05-09
"Rachel Banham",15,"CHI",2026-05-09
"Aicha Coulibaly",6,"CHI",2026-05-09
"Sydney Taylor",4,"CHI",2026-05-09
"Bridget Carleton",30,"POR",2026-05-09
"Emily Engstler",23,"POR",2026-05-09
"Nyadiew Puoch",17,"POR",2026-05-09
"Luisa Geiselsoder",25,"POR",2026-05-09
"Carla Leite",29,"POR",2026-05-09
"Frieda Buhner",13,"POR",2026-05-09
"Megan Gustafson",14,"POR",2026-05-09
"Serah Williams",8,"POR",2026-05-09
"Haley Jones",7,"POR",2026-05-09
"Sarah Ashlee",24,"POR",2026-05-09
"Jordan Harrison",11,"POR",2026-05-09
"Teja Oblak",0,"POR",2026-05-09
"Naz Hillmon",33,"ATL",2026-05-09
"Angel Reese",32,"ATL",2026-05-09
"Allisha Gray",33,"ATL",2026-05-09
"Jordin Canada",27,"ATL",2026-05-09
"Rhyne Howard",38,"ATL",2026-05-09
"Sika Kone",3,"ATL",2026-05-09
"Madina Okot",10,"ATL",2026-05-09
"Te-Hina Paopao",21,"ATL",2026-05-09
"Isobel Borlase",3,"ATL",2026-05-09
"Indya Nivar",0,"ATL",2026-05-09
"Natasha Howard",20,"MIN",2026-05-09
"Nia Coffey",31,"MIN",2026-05-09
"Kayla Mc",33,"MIN",2026-05-09
"Courtney Williams",32,"MIN",2026-05-09
"Olivia Miles",34,"MIN",2026-05-09
"Antonia Delaere",14,"MIN",2026-05-09
"Anastasiia Olairi",6,"MIN",2026-05-09
"Emma Cechova",19,"MIN",2026-05-09
"Emese Hof",4,"MIN",2026-05-09
"Maya Caldwell",8,"MIN",2026-05-09
"Eliska Hamzova",0,"MIN",2026-05-09
"Jordan Horston",15,"SEA",2026-05-10
"Stefanie Dolson",21,"SEA",2026-05-10
"Dominique Malonga",20,"SEA",2026-05-10
"Natisha Hiedeman",26,"SEA",2026-05-10
"Flau'jae JohnsonF. Johnson#4",30,"SEA",2026-05-10
"Mackenzie Holmes",23,"SEA",2026-05-10
"Grace Van",10,"SEA",2026-05-10
"Lexie Brown",21,"SEA",2026-05-10
"Zia Cooke",12,"SEA",2026-05-10
"Jade Melbourne",23,"SEA",2026-05-10
"Taina Mair",0,"SEA",2026-05-10
"Diamond Miller",27,"CON",2026-05-10
"Brittney Griner",28,"CON",2026-05-10
"Kennedy Burke",34,"CON",2026-05-10
"Saniya Rivers",20,"CON",2026-05-10
"Charlisse Leger",20,"CON",2026-05-10
"Aneesah Morrow",31,"CON",2026-05-10
"Olivia Nelson",12,"CON",2026-05-10
"Hailey Van",20,"CON",2026-05-10
"Gianna Kneepkens",8,"CON",2026-05-10
"Raegan Beers",0,"CON",2026-05-10
"Ashlon Jackson",0,"CON",2026-05-10
"Breanna Stewart",39,"NY",2026-05-10
"Jonquel Jones",24,"NY",2026-05-10
"Betnijah Laney",25,"NY",2026-05-10
"Marine Johannes",37,"NY",2026-05-10
"Pauline Astier",35,"NY",2026-05-10
"Aubrey Griffin",0,"NY",2026-05-10
"Han Xu",26,"NY",2026-05-10
"Rebekah Gardner",25,"NY",2026-05-10
"Julie Vanloo",13,"NY",2026-05-10
"Satou Sabally",0,"NY",2026-05-10
"Rebecca Allen",0,"NY",2026-05-10
"Sabrina Ionescu",0,"NY",2026-05-10
"Marine Fauthoux",0,"NY",2026-05-10
"Kiki Iriafen",28,"WSH",2026-05-10
"Shakira Austin",33,"WSH",2026-05-10
"Sonia Citron",36,"WSH",2026-05-10
"Georgia Amoore",21,"WSH",2026-05-10
"Cassandre Prosper",28,"WSH",2026-05-10
"Angela Dugalic",10,"WSH",2026-05-10
"Lauren Betts",18,"WSH",2026-05-10
"Rori Harmon",22,"WSH",2026-05-10
"Lucy Olsen",5,"WSH",2026-05-10
"Alex Wilson",24,"WSH",2026-05-10
"Darianna Littlepage",0,"WSH",2026-05-10
"Stephanie Talbot",18,"LV",2026-05-10
